Angle,Intensity
17.6266,74
17.6308,87
17.635,100
17.6391,91
17.6433,93
17.6475,87
17.6517,98
17.6559,93
17.66,81
17.6642,94
17.6684,82
17.6726,103
17.6767,98
17.6809,93
17.6851,89
17.6893,94
17.6935,96
17.6976,92
17.7018,81
17.706,79
17.7102,92
17.7143,100
17.7185,82
17.7227,91
17.7269,79
17.7311,88
17.7352,84
17.7394,112
17.7436,80
17.7478,96
17.7519,100
17.7561,90
17.7603,91
17.7645,87
17.7687,93
17.7728,89
17.777,76
17.7812,88
17.7854,80
17.7895,77
17.7937,87
17.7979,98
17.8021,87
17.8063,78
17.8104,99
17.8146,97
17.8188,92
17.823,96
17.8271,80
17.8313,94
17.8355,92
17.8397,76
17.8439,87
17.848,113
17.8522,106
17.8564,75
17.8606,87
17.8647,87
17.8689,85
17.8731,86
17.8773,74
17.8815,85
17.8856,86
17.8898,78
17.894,78
17.8982,98
17.9023,79
17.9065,98
17.9107,70
17.9149,104
17.9191,120
17.9232,103
17.9274,86
17.9316,81
17.9358,91
17.9399,60
17.9441,93
17.9483,99
17.9525,110
17.9567,99
17.9608,70
17.965,92
17.9692,87
17.9734,82
17.9775,84
17.9817,75
17.9859,85
17.9901,97
17.9943,94
17.9984,82
18.0026,87
18.0068,94
18.011,88
18.0151,105
18.0193,86
18.0235,93
18.0277,79
18.0319,80
18.036,80
18.0402,79
18.0444,93
18.0486,72
18.0527,98
18.0569,90
18.0611,82
18.0653,80
18.0695,100
18.0736,76
18.0778,87
18.082,77
18.0862,98
18.0903,85
18.0945,87
18.0987,82
18.1029,94
18.1071,79
18.1112,79
18.1154,77
18.1196,81
18.1238,80
18.1279,84
18.1321,82
18.1363,84
18.1405,97
18.1447,96
18.1488,75
18.153,93
18.1572,103
18.1614,78
18.1655,101
18.1697,86
18.1739,78
18.1781,87
18.1823,90
18.1864,79
18.1906,89
18.1948,75
18.199,96
18.2031,85
18.2073,90
18.2115,68
18.2157,100
18.2199,88
18.224,90
18.2282,94
18.2324,90
18.2366,97
18.2407,90
18.2449,63
18.2491,63
18.2533,81
18.2575,82
18.2616,93
18.2658,92
18.27,93
18.2742,68
18.2783,77
18.2825,94
18.2867,101
18.2909,78
18.2951,82
18.2992,80
18.3034,100
18.3076,90
18.3118,84
18.3159,84
18.3201,88
18.3243,85
18.3285,78
18.3327,74
18.3368,84
18.341,82
18.3452,97
18.3494,86
18.3535,79
18.3577,75
18.3619,88
18.3661,98
18.3703,81
18.3744,99
18.3786,64
18.3828,73
18.387,74
18.3911,97
18.3953,92
18.3995,88
18.4037,85
18.4079,66
18.412,68
18.4162,88
18.4204,84
18.4246,90
18.4287,84
18.4329,85
